Resource,LCOM,LCOM*,CBO,FO,DIT,NOC,LOC,NOA,NOO,RFC,WMPC
org.jfree.chart.renderer.category.WaterfallBarRenderer,21,60,30,18,4,0,269,4,13,415,46
org.jfree.chart.renderer.DefaultPolarItemRenderer,37,66,28,19,2,0,139,2,9,218,19
org.jfree.chart.renderer.NotOutlierException,,,0,0,3,0,5,0,0,22,1
org.jfree.chart.renderer.Outlier,27,62,1,1,1,0,49,2,9,24,12
org.jfree.chart.renderer.OutlierList,20,77,5,3,1,0,48,3,8,30,11
org.jfree.chart.renderer.OutlierListCollection,18,80,5,4,1,0,49,3,7,29,12
org.jfree.chart.renderer.PolarItemRenderer,,,9,9,0,1,22,0,8,8,8
org.jfree.chart.renderer.RendererState,0,0,3,3,1,8,19,1,2,15,5
org.jfree.chart.renderer.WaferMapRenderer,39,76,16,11,2,0,188,4,12,198,45
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,1107,93,52,41,2,23,751,14,49,432,128
org.jfree.chart.renderer.xy.CandlestickRenderer,174,89,32,22,3,0,363,10,22,410,61
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,4,0,21,15,4,0,136,1,3,388,21
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,10,,12,15,4,0,249,0,1,385,36
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,63,77,3,3,1,0,59,3,13,32,17
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,,,0,0,4,0,4,0,0,389,0
org.jfree.chart.renderer.xy.HighLowRenderer,21,68,27,20,3,0,221,4,13,386,46
org.jfree.chart.renderer.xy.SignalRenderer,18,66,23,16,3,0,136,3,8,370,16
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,86,33,34,26,4,0,318,2,13,414,53
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,8,87,4,4,3,0,34,4,7,21,8
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,36,,21,17,4,0,238,0,7,381,26
org.jfree.chart.renderer.xy.StackedXYBarRenderer,10,,22,15,4,0,161,0,3,388,25
org.jfree.chart.renderer.xy.StandardXYItemRenderer,451,89,40,29,3,1,451,11,31,423,93
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,1,0,2,2,3,0,13,2,2,15,3
